MI_x_tr,MI_y_tr,MI_x_te,MI_y_te,Acc_tr,Acc_te,loss,epochs
0.155,0.088,0.104,0.063,10.85,11.35,2.661,1
0.104,0.062,0.106,0.064,10.59,5.87,2.301,2
0.104,0.062,0.105,0.064,11.04,11.35,2.301,3
0.104,0.062,0.107,0.065,11.49,9.8,2.3,4
0.11,0.065,0.116,0.07,11.47,11.35,2.3,5
0.128,0.076,0.14,0.085,11.16,10.33,2.299,6
0.161,0.096,0.183,0.111,11.43,10.28,2.299,7
0.222,0.132,0.271,0.163,11.56,10.1,2.297,8
0.453,0.262,1.056,0.596,12.28,15.09,2.29,9
4.24,2.596,4.785,3.002,70.78,89.05,0.949,10
4.676,2.963,4.676,2.979,90.25,91.44,0.32,11
4.676,2.975,4.68,2.98,91.19,90.74,0.292,12
4.68,2.979,4.68,2.988,91.77,92.4,0.276,13
4.688,2.984,4.684,2.994,91.98,92.15,0.268,14
4.69,2.984,4.688,2.998,92.2,92.73,0.261,15
4.695,2.984,4.652,2.973,92.41,91.5,0.253,16
4.69,2.984,4.7,2.99,92.55,93.04,0.251,17
4.7,2.986,4.684,2.992,92.58,93.08,0.245,18
4.7,2.986,4.67,2.99,92.79,93.32,0.242,19
4.703,2.992,4.715,3.014,93.06,93.39,0.231,20
4.7,3.002,4.66,3.012,93.55,93.97,0.215,21
4.695,3.02,4.684,3.035,94.31,94.67,0.19,22
4.688,3.035,4.7,3.043,94.98,94.73,0.168,23
4.69,3.047,4.67,3.055,95.33,95.58,0.157,24
4.695,3.053,4.707,3.06,95.72,95.45,0.143,25
4.695,3.055,4.7,3.066,95.73,95.82,0.14,26
4.69,3.057,4.69,3.072,96.0,95.85,0.132,27
4.69,3.06,4.66,3.064,96.24,96.02,0.126,28
4.684,3.06,4.664,3.064,96.28,96.18,0.12,29
4.688,3.06,4.65,3.064,96.41,95.81,0.117,30
4.68,3.06,4.676,3.066,96.44,96.57,0.114,31
